data,open,high,low,close
3773,2742.9 ,2746.8 ,2742.2 ,2744.6 
3774,2744.6 ,2746.5 ,2740.2 ,2741.3 
3775,2741.3 ,2748.0 ,2741.0 ,2744.1 
3776,2744.1 ,2745.4 ,2742.0 ,2744.4 
3777,2743.9 ,2746.1 ,2742.2 ,2743.9 
3778,2744.1 ,2749.3 ,2742.6 ,2746.5 
3779,2746.5 ,2746.9 ,2745.0 ,2745.7 
3780,2745.7 ,2745.8 ,2741.6 ,2742.5 
3781,2742.4 ,2742.8 ,2740.8 ,2742.0 
3782,2742.1 ,2744.3 ,2740.0 ,2742.5 
3783,2742.1 ,2742.6 ,2738.1 ,2740.0 
3784,2739.7 ,2743.5 ,2739.6 ,2742.9 
3785,2742.7 ,2743.4 ,2741.5 ,2742.1 
3786,2742.2 ,2742.2 ,2737.9 ,2738.8 
3787,2739.2 ,2740.2 ,2733.2 ,2733.2 
3788,2733.2 ,2736.2 ,2733.2 ,2735.1 
3789,2735.1 ,2735.7 ,2732.9 ,2734.5 
3790,2734.7 ,2737.2 ,2733.4 ,2736.2 
3791,2736.2 ,2737.6 ,2735.9 ,2736.6 
3792,2736.8 ,2738.3 ,2736.1 ,2736.3 
3793,2736.1 ,2744.4 ,2734.5 ,2743.6 
3794,2744.4 ,2745.9 ,2742.7 ,2744.8 
3795,2744.8 ,2746.5 ,2743.4 ,2743.7 
3796,2744.1 ,2747.4 ,2743.4 ,2745.7 
3797,2745.7 ,2746.2 ,2743.1 ,2743.2 
3798,2743.2 ,2745.1 ,2742.5 ,2743.2 
3799,2743.8 ,2752.8 ,2743.1 ,2752.0 
3800,2751.7 ,2772.6 ,2751.4 ,2765.4 
3801,2765.6 ,2767.8 ,2764.8 ,2765.7 
3802,2766.4 ,2767.7 ,2764.8 ,2766.4 
3803,2766.7 ,2770.1 ,2764.5 ,2767.8 
3804,2767.8 ,2787.5 ,2767.7 ,2786.5 
3805,2785.8 ,2797.9 ,2784.2 ,2797.1 
3806,2798.1 ,2798.3 ,2792.2 ,2793.4 
3807,2793.4 ,2794.3 ,2792.5 ,2793.3 
3808,2793.5 ,2795.4 ,2792.3 ,2794.1 
3809,2794.1 ,2794.5 ,2791.8 ,2792.8 
3810,2792.8 ,2796.6 ,2792.6 ,2794.4 
3811,2794.4 ,2803.8 ,2793.1 ,2799.8 
3812,2799.4 ,2801.2 ,2798.0 ,2798.8 
3813,2798.8 ,2799.5 ,2795.2 ,2795.2 
3814,2794.7 ,2796.8 ,2794.4 ,2795.4 
3815,2795.4 ,2799.7 ,2795.4 ,2796.8 
3816,2796.8 ,2800.0 ,2796.6 ,2799.1 
3817,2799.2 ,2819.5 ,2799.0 ,2815.6 
3818,2814.5 ,2815.5 ,2810.2 ,2813.3 
3819,2812.6 ,2812.6 ,2809.7 ,2809.9 
3820,2809.9 ,2810.2 ,2807.9 ,2809.2 
3821,2809.1 ,2811.0 ,2808.6 ,2809.3 
3822,2809.2 ,2813.1 ,2803.5 ,2804.5 
3823,2804.5 ,2804.6 ,2801.0 ,2801.9 
3824,2802.1 ,2805.4 ,2801.5 ,2804.6 
3825,2804.6 ,2812.5 ,2804.4 ,2808.1 
3826,2808.2 ,2811.3 ,2806.9 ,2809.9 
3827,2810.1 ,2823.1 ,2809.5 ,2820.0 
3828,2819.8 ,2824.7 ,2819.5 ,2820.4 
3829,2820.4 ,2820.7 ,2816.8 ,2819.0 
3830,2819.0 ,2821.4 ,2817.5 ,2818.0 
3831,2818.0 ,2824.2 ,2817.9 ,2820.9 
3832,2820.5 ,2821.2 ,2810.7 ,2810.7 
3833,2812.5 ,2821.8 ,2810.6 ,2821.5 
3834,2821.5 ,2824.3 ,2820.3 ,2822.2 
3835,2821.7 ,2823.4 ,2820.6 ,2822.4 
3836,2823.1 ,2824.2 ,2817.4 ,2820.3 
3837,2820.3 ,2822.1 ,2817.8 ,2819.2 
3838,2818.9 ,2820.3 ,2815.4 ,2815.6 
3839,2815.4 ,2820.1 ,2812.5 ,2818.7 
3840,2818.7 ,2819.7 ,2815.8 ,2817.3 
3841,2817.2 ,2819.8 ,2816.7 ,2816.7 
3842,2816.3 ,2818.6 ,2814.4 ,2816.6 
3843,2816.6 ,2818.5 ,2815.5 ,2817.8 
3844,2817.9 ,2820.0 ,2816.4 ,2817.4 
3845,2817.7 ,2818.3 ,2817.1 ,2817.7 
3846,2817.9 ,2818.6 ,2816.1 ,2816.1 
3847,2816.3 ,2817.1 ,2814.9 ,2816.2 
3848,2816.2 ,2816.2 ,2813.5 ,2814.1 
3849,2813.9 ,2814.2 ,2810.8 ,2813.5 
3850,2813.5 ,2814.8 ,2812.9 ,2814.2 
3851,2802.4 ,2808.5 ,2802.4 ,2806.8 
3852,2806.8 ,2809.0 ,2806.5 ,2807.9 
3853,2807.9 ,2810.5 ,2807.0 ,2808.4 
3854,2807.9 ,2808.9 ,2805.8 ,2806.3 
3855,2806.5 ,2808.3 ,2805.2 ,2807.4 
3856,2807.2 ,2810.3 ,2807.2 ,2808.7 
3857,2809.1 ,2810.9 ,2808.2 ,2809.3 
3858,2809.5 ,2811.9 ,2808.3 ,2811.2 
3859,2811.6 ,2812.7 ,2810.4 ,2810.6 
3860,2810.9 ,2811.0 ,2809.0 ,2809.4 
3861,2809.5 ,2809.5 ,2806.6 ,2807.2 
3862,2807.0 ,2809.3 ,2806.8 ,2809.1 
3863,2809.1 ,2812.2 ,2808.3 ,2811.2 
3864,2811.2 ,2811.2 ,2808.9 ,2809.5 
3865,2809.7 ,2815.7 ,2809.5 ,2815.0 
3866,2815.0 ,2817.0 ,2814.5 ,2814.9 
3867,2814.5 ,2815.2 ,2812.3 ,2812.3 
3868,2812.3 ,2813.9 ,2812.1 ,2813.7 
3869,2813.7 ,2813.7 ,2805.4 ,2807.2 
3870,2807.3 ,2808.1 ,2806.5 ,2808.0 
3871,2808.0 ,2808.2 ,2805.0 ,2806.2 
3872,2806.2 ,2808.4 ,2804.2 ,2804.3 
3873,2804.5 ,2807.5 ,2802.9 ,2807.4 
3874,2807.6 ,2809.0 ,2806.5 ,2807.2 
3875,2807.2 ,2808.8 ,2806.6 ,2807.6 
3876,2807.8 ,2810.0 ,2807.2 ,2807.8 
3877,2807.7 ,2808.1 ,2806.4 ,2806.9 
3878,2806.7 ,2813.7 ,2806.7 ,2812.7 
3879,2812.3 ,2813.7 ,2811.0 ,2812.5 
3880,2812.5 ,2814.0 ,2811.9 ,2812.3 
3881,2812.3 ,2812.4 ,2810.0 ,2812.1 
3882,2812.1 ,2813.9 ,2810.5 ,2811.9 
3883,2812.3 ,2812.7 ,2807.6 ,2807.8 
3884,2807.8 ,2809.6 ,2806.5 ,2807.6 
3885,2807.5 ,2808.0 ,2806.8 ,2807.3 
3886,2807.5 ,2810.4 ,2807.0 ,2807.8 
3887,2807.8 ,2808.4 ,2805.2 ,2807.3 
3888,2807.3 ,2808.4 ,2806.4 ,2807.9 
3889,2808.4 ,2810.0 ,2807.6 ,2809.2 
3890,2809.2 ,2812.5 ,2808.9 ,2811.5 
3891,2811.8 ,2814.6 ,2811.1 ,2812.8 
3892,2812.8 ,2813.0 ,2811.6 ,2812.3 
3893,2812.3 ,2817.2 ,2811.9 ,2817.2 
3894,2817.3 ,2823.8 ,2816.7 ,2822.8 
3895,2822.8 ,2823.5 ,2819.2 ,2819.8 
3896,2820.0 ,2820.0 ,2815.6 ,2815.8 
3897,2815.8 ,2816.9 ,2814.7 ,2815.6 
3898,2815.6 ,2816.4 ,2813.0 ,2814.4 
3899,2814.1 ,2815.9 ,2814.1 ,2814.4 
3900,2814.4 ,2814.6 ,2811.1 ,2811.1 
3901,2811.2 ,2814.0 ,2811.2 ,2813.6 
3902,2813.6 ,2814.5 ,2812.5 ,2813.9 
3903,2813.9 ,2815.3 ,2813.8 ,2815.1 
3904,2814.8 ,2814.9 ,2806.6 ,2807.5 
3905,2807.3 ,2809.2 ,2806.4 ,2807.4 
3906,2807.3 ,2808.6 ,2805.5 ,2807.5 
3907,2807.7 ,2811.1 ,2807.7 ,2811.1 
3908,2810.8 ,2813.0 ,2810.3 ,2812.0 
3909,2812.0 ,2814.9 ,2810.6 ,2813.2 
3910,2813.1 ,2813.4 ,2811.4 ,2812.2 
3911,2812.2 ,2816.5 ,2810.6 ,2815.4 
3912,2815.3 ,2817.6 ,2813.3 ,2815.8 
3913,2816.0 ,2817.4 ,2814.9 ,2814.9 
3914,2814.8 ,2815.2 ,2811.7 ,2813.1 
3915,2813.1 ,2820.5 ,2812.9 ,2819.0 
3916,2819.0 ,2819.9 ,2813.0 ,2815.1 
3917,2815.0 ,2815.3 ,2810.8 ,2812.1 
3918,2811.9 ,2813.9 ,2810.6 ,2811.2 
3919,2811.6 ,2814.5 ,2809.4 ,2812.4 
3920,2812.3 ,2812.7 ,2807.0 ,2807.9 
3921,2807.9 ,2808.7 ,2806.0 ,2808.5 
3922,2808.0 ,2810.2 ,2808.0 ,2809.0 
3923,2809.0 ,2811.2 ,2808.5 ,2809.7 
3924,2809.7 ,2810.2 ,2807.1 ,2807.8 
3925,2807.8 ,2810.4 ,2803.9 ,2806.3 
3926,2806.3 ,2811.7 ,2806.0 ,2809.3 
3927,2809.3 ,2810.6 ,2807.2 ,2809.7 
3928,2809.6 ,2813.6 ,2809.6 ,2811.7 
3929,2811.7 ,2811.9 ,2810.3 ,2810.3 
3930,2810.3 ,2811.1 ,2807.5 ,2809.4 
3931,2809.4 ,2811.8 ,2808.3 ,2809.0 
3932,2809.2 ,2809.6 ,2808.2 ,2808.3 
3933,2808.2 ,2809.8 ,2807.5 ,2808.7 
3934,2808.6 ,2809.9 ,2807.0 ,2808.1 
